0;36;51.7;9.215417;+;23;59;29;23.991389;NGC169;NGC 169;;;;
0;36;45.9;9.191250;+;1;53;11;1.886389;NGC170;NGC 170;;;;
0;37;21.5;9.339583;-;19;56;4;-19.934444;NGC171;NGC 171;;;;
0;37;13.6;9.306667;-;22;35;12;-22.586667;NGC172;NGC 172;;;;
0;37;12.4;9.301667;+;1;56;32;1.942222;NGC173;NGC 173;;;;
0;36;58.8;9.245000;-;29;28;40;-29.477778;NGC174;NGC 174;;;;
0;37;21.5;9.339583;-;19;56;4;-19.934444;NGC175;NGC 175;;;;
0;35;58.8;8.995000;-;73;9;58;-73.166111;NGC176;NGC 176;;;;
0;37;34.3;9.392917;-;22;32;57;-22.549167;NGC177;NGC 177;;;;
0;39;8.4;9.785000;-;14;10;20;-14.172222;NGC178;NGC 178;;;;
0;37;46.3;9.442917;-;17;51;0;-17.850000;NGC179;NGC 179;;;;
0;37;57.7;9.490417;+;8;38;5;8.634722;NGC180;NGC 180;;;;
0;38;23.3;9.597083;+;29;28;24;29.473333;NGC181;NGC 181;;;;
0;38;12.4;9.551667;+;2;43;43;2.728611;NGC182;NGC 182;;;;
0;38;29.3;9.622083;+;29;30;42;29.511667;NGC183;NGC 183;;;;
0;38;35.8;9.649167;+;29;26;51;29.447500;NGC184;NGC 184;;;;
0;38;57.6;9.740000;+;48;20;14;48.337222;NGC185;NGC 185;;;;
0;38;25.2;9.605000;+;3;9;58;3.166111;NGC186;NGC 186;;;;
0;39;30.2;9.875833;-;14;39;23;-14.656389;NGC187;NGC 187;;;;
0;47;30.0;11.875000;+;85;15;30;85.258333;NGC188;NGC 188;;;;
0;39;35.6;9.898333;+;61;5;42;61.095000;NGC189;NGC 189;;;;
0;38;54.7;9.727917;+;7;3;44;7.062222;NGC190;NGC 190;;;;
0;38;59.2;9.746667;-;9;0;10;-9.002778;NGC191;NGC 191;;;;
0;39;13.5;9.806250;+;0;51;51;0.864167;NGC192;NGC 192;;;;
0;39;18.5;9.827083;+;3;19;52;3.331111;NGC193;NGC 193;;;;
0;39;18.3;9.826250;+;3;2;15;3.037500;NGC194;NGC 194;;;;
0;39;35.7;9.898750;-;9;11;39;-9.194167;NGC195;NGC 195;;;;
0;39;17.8;9.824167;+;0;54;47;0.913056;NGC196;NGC 196;;;;
0;39;18.7;9.827917;+;0;53;33;0.892500;NGC197;NGC 197;;;;
0;39;22.9;9.845417;+;2;47;54;2.798333;NGC198;NGC 198;;;;
0;39;33.1;9.887917;+;3;8;17;3.138056;NGC199;NGC 199;;;;
0;39;34.7;9.894583;+;2;53;13;2.886944;NGC200;NGC 200;;;;
0;39;34.9;9.895417;+;0;51;37;0.860278;NGC201;NGC 201;;;;
0;39;39.7;9.915417;+;3;32;8;3.535556;NGC202;NGC 202;;;;
0;39;39.5;9.914583;+;3;26;33;3.442500;NGC203;NGC 203;;;;
0;39;44.2;9.934167;+;3;18;0;3.300000;NGC204;NGC 204;;;;
0;40;22.1;10.092083;+;41;41;7;41.685278;NGC205;NGC 205;;;;
0;40;32.3;10.134583;+;40;44;18;40.738333;NGC206;NGC 206;;;;
0;39;40.7;9.919583;-;14;14;11;-14.236389;NGC207;NGC 207;;;;
0;40;17.4;10.072500;+;2;45;21;2.755833;NGC208;NGC 208;;;;
0;39;3.5;9.764583;-;18;36;30;-18.608333;NGC209;NGC 209;;;;
0;40;34.8;10.145000;-;13;52;21;-13.872500;NGC210;NGC 210;;;;
0;39;39.5;9.914583;+;3;26;33;3.442500;NGC211;NGC 211;;;;
0;40;13.4;10.055833;-;56;9;9;-56.152500;NGC212;NGC 212;;;;
0;41;9.9;10.291250;+;16;28;11;16.469722;NGC213;NGC 213;;;;
0;41;28.0;10.366667;+;25;29;58;25.499444;NGC214;NGC 214;;;;
0;40;48.9;10.203750;-;56;12;51;-56.214167;NGC215;NGC 215;;;;
0;41;27.1;10.362917;-;21;2;43;-21.045278;NGC216;NGC 216;;;;
0;41;33.9;10.391250;-;10;1;18;-10.021667;NGC217;NGC 217;;;;
0;46;32.0;11.633333;+;36;19;32;36.325556;NGC218;NGC 218;;;;
0;42;11.3;10.547083;+;0;54;16;0.904444;NGC219;NGC 219;;;;
0;40;30.0;10.125000;-;73;24;15;-73.404167;NGC220;NGC 220;;;;
0;42;41.8;10.674167;+;40;51;57;40.865833;NGC221;NGC 221;;;;
0;40;43.7;10.182083;-;73;23;9;-73.385833;NGC222;NGC 222;;;;
0;42;15.9;10.566250;+;0;50;46;0.846111;NGC223;NGC 223;;;;
0;42;44.3;10.684583;+;41;16;8;41.268889;NGC224;NGC 224;;;;
0;43;36.0;10.900000;+;61;46;0;61.766667;NGC225;NGC 225;;;;
0;42;53.9;10.724583;+;32;34;49;32.580278;NGC226;NGC 226;;;;
0;42;36.6;10.652500;-;1;31;41;-1.528056;NGC227;NGC 227;;;;
0;42;54.5;10.727083;+;23;30;12;23.503333;NGC228;NGC 228;;;;
0;43;4.7;10.769583;+;23;30;34;23.509444;NGC229;NGC 229;;;;
0;42;27.0;10.612500;-;23;37;44;-23.628889;NGC230;NGC 230;;;;
0;41;6.4;10.276667;-;73;21;9;-73.352500;NGC231;NGC 231;;;;
0;42;45.7;10.690417;-;23;33;42;-23.561667;NGC232;NGC 232;;;;
0;43;36.5;10.902083;+;30;35;13;30.586944;NGC233;NGC 233;;;;
0;43;32.3;10.884583;+;14;20;33;14.342500;NGC234;NGC 234;;;;
0;42;52.7;10.719583;-;23;32;28;-23.541111;NGC235;NGC 235;;;;
0;43;27.4;10.864167;+;2;57;29;2.958056;NGC236;NGC 236;;;;
0;43;27.9;10.866250;-;0;7;31;-0.125278;NGC237;NGC 237;;;;
0;43;25.6;10.856667;-;50;10;58;-50.182778;NGC238;NGC 238;;;;
